subject_id,task,admission number,date of entry,name,quality,age,place of birth,port sailed out of,years at sea,last services,under what circumstances admitted (or nature of complaint),date of discharge,how disposed of,number of days victualled,complete
44121923,9,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,10,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,11,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,13,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,14,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,15,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,16,8.0,4.0,6.0,3.0,8.0,3.0,,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,17,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,19,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,20,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,21,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,22,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,23,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,25,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,26,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
44121923,27,8.0,4.0,6.0,3.0,8.0,3.0,3.0,3.0,3.0,16.0,3.0,3.0,3.0,True
